molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL2312476,active,7.376750709602099,CC(C)c1ccc(Oc2ccc3c4c(cccc24)C2=NC(=O)C(NCCCc4ccccc4)=C23)cc1,472.58800000000025,7.031900000000008,1.0,3.0
CHEMBL6011371,active,7.958607314841775,CC(C)c1cccc(C2CCCN2C2CC=C(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)c1,818.9969999999997,9.117,3.0,10.0
CHEMBL6040153,active,7.568636235841013,CC(C)c1ccccc1C1CCCCN1c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1,828.9919999999997,9.7426,3.0,10.0
CHEMBL6016863,active,7.6777807052660805,CC(C)c1ccccc1C1CCCN1C1CC=C(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)CC1,818.9969999999997,9.117000000000003,3.0,10.0
CHEMBL5881653,active,7.920818753952375,CC(C)c1ccccc1C1CCCN1C1CCC(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)CC1,821.0129999999997,9.207300000000002,3.0,10.0
CHEMBL5557735,active,8.318758762624412,CC(C)c1ccccc1C1CCCN1c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1,814.9649999999998,9.352500000000001,3.0,10.0
CHEMBL5924691,active,7.292429823902063,CC(C)c1ccccc1C1CCCN1c1ccc(-c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4(F)CCN(C5COC5)CC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)cc1,889.0189999999996,9.095700000000003,2.0,11.0
CHEMBL6031098,active,7.823908740944319,CC(C)c1ccccc1CC1CCCN1C1CC=C(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c2)CC1,833.0239999999995,8.987000000000004,3.0,10.0
CHEMBL217354,active,6.346787486224656,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,573.7110000000004,6.900200000000008,4.0,6.0
CHEMBL5766828,active,10.4089353929735,CC(C)c1ccccc1[C@@H]1CCCN1C1CC2(C1)CN(c1ccc(C(=O)NS(=O)(=O)c3ccc(NC[C@H]4CC[C@](C)(O)CC4)c([N+](=O)[O-])c3)c(Oc3cnc4[nH]ccc4c3)c1)C2,862.0659999999996,8.664500000000006,4.0,11.0
